country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Lithuania,1830,LTU,901892.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,
Low-income countries,1750,,40086242.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
Lower-middle-income countries,1750,,306918601.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
Luxembourg,1850,LUX,192785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403,,,,,,,,,,,0.403,2.091,,,,,,,,,,,,,,,,,,,,0.017,,,,,0.017,,,,,,
Macao,1954,MAC,198241.0,,0.0,0.0,0.022,,,,,,,,,0.111,,,0.009,0.044,,,,0.0,0.022,,0.009,0.0,0.0,,0.013,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.013,0.067,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.001,,,,,
Madagascar,1850,MDG,2612685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.882,,,,,,,,,,,10.882,4.165,,,,,,,,,,,,,,,,,,,,0.449,,,,,0.449,,,,,,
Malawi,1850,MWI,2126398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.466,,,,,,,,,,,1.466,0.689,,,,,,,,,,,,,,,,,,,,0.06,,,,,0.06,,,,,,
Malaysia,1850,MYS,530268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.265,,,,,,,,,,,6.265,11.816,,,,,,,,,,,,,,,,,,,,0.258,,,,,0.258,,,,,,
Maldives,1971,MDV,127078.0,,0.0,0.0,0.004,,,,,,,,,0.029,,,0.0,0.0,,,,0.0,0.004,,0.0,0.0,0.0,,0.004,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.004,0.029,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,
Mali,1850,MLI,1502290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.209,,,,,,,,,,,1.209,0.805,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.05,,,,,,
Malta,1850,MLT,160270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,,,,,,,,,0.037,0.229,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,,,,
Marshall Islands,1990,MHL,46069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,0.651,,,0.02,0.434,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,
Martinique,1750,MTQ,48545.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
Mauritania,1750,MRT,357845.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
Mauritius,1850,MUS,182748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,,,,,,,,,0.037,0.2,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,,,,
Mayotte,1750,MYT,21.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
Mexico,1850,MEX,7688866.0,8075747840.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.607,,,,,,,,,,,22.607,2.94,,,,,,,,,,,,,,,,,,,,0.932,,,,,0.932,,,,,,
Micronesia (country),1990,FSM,98616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.101,0.101,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.01,0.01,,
Middle East (GCP),1850,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,1830,MDA,780779.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,
